# THIS WAS GENERATED BY the_last_christmas.ipynb


core, 400, 300, 0, 0.5, 0.5, -1, 0, 33CCFF
c, 1, -3, 0, 0, 0, e0, 8, FF0000
switch1b, 200, 200, 0, 1, 1, e0, 4, FFFFFF
switch1b, -200, 200, 0, 1, 1, e0, 3, FFFFFF
switch1b, 200, -200, 0, 1, 1, e0, 2, FFFFFF
switch1b, -200, -200, 0, 1, 1, e0, 1, FFFFFF

switch2b, -200, -200, 0, 2, 2, e0, 9, FF0033
switch2b, 200, -200, 0, 2, 2, e0, 5, FF0033
switch2b, -200, 200, 0, 2, 2, e0, 7, FF0033
switch2b, 200, 200, 0, 2, 2, e0, 6, FF0033

switch2b, -200, 200, 0, 2, 2, e0, 12, FF0033
switch2b, 200, -200, 0, 2, 2, e0, 13, FF0033
switch2b, 200, 200, 0, 2, 2, e0, 14, FF0033

rect, 20, 20, -45, 5, 1, e1, 22, 339900
rect, 20, -20, -135, 5, 1, e3, 23, 339900
rect, -20, 20, -135, 5, 1, e2, 24, 339900
rect, -20, -20, -45, 5, 1, e4, 25, 339900

jet, 0, 0, 0, 0, 0, e3, 21, 0066FF
jet, 0, 0, 0, 0, 0, e4, 26, 0066FF
jet, 0, 0, 0, 0, 0, e2, 35, 0066FF

spread, 0, 50, 0, 0, 0, e21, 15, 666666
spread, 50, 0, 0, 0, 0, e21, 16, 666666
spread, 0, -50, 0, 0, 0, e21, 17, 666666
spread, -50, 0, 0, 0, 0, e21, 18, 666666

spread, 0, 50, 0, 0, 0, e26, 27, 666666
spread, 50, 0, 0, 0, 0, e26, 28, 666666
spread, 0, -50, 0, 0, 0, e26, 29, 666666
spread, -50, 0, 0, 0, 0, e26, 30, 666666

spread, 0, 50, 0, 0, 0, e35, 31, 666666
spread, 50, 0, 0, 0, 0, e35, 32, 666666
spread, 0, -50, 0, 0, 0, e35, 33, 666666
spread, -50, 0, 0, 0, 0, e35, 34, 666666

square, 0, 0, 135, 0, 0, e25, 36, 666666
square, 0, 0, 135, 0, 0, e25, 37, 666666
square, 0, 0, 135, 0, 0, e25, 38, 666666
square, 0, 0, 135, 0, 0, e25, 39, 666666
square, 0, 0, 135, 0, 0, e25, 40, 666666
square, 0, 0, 135, 0, 0, e25, 41, 666666



tri, 0, 0, 0, 0, 0, e0, 108, CC0000
tri, 0, -600, 0, 0, 0, e108, 109, CC0000
tri, 0, 0, 0, 0, 0, e109, 120, CC0000
switch4b, 0, 400, 90, 0, 0, e120, 107, FF0000
core, 0, 0, 180, 0.5, 0.5, e107, 101, FF0033

rhombus, 1, 68, 77, 1.21, 0.61, e101, 138, FF0033
rect, -1, 34, 0, 3.01, 1.01, e138, 139, FF0033
single, -30, 7, 0, 0.7, 0.7, e139, 133, FF0033
single, 13, 16, 0, 0.5, 0.5, e139, 132, FF0033
single, -13, 16, 0, 0.5, 0.5, e139, 131, FF0033
single, 30, 7, 0, 0.7, 0.7, e139, 130, FF0033
forcefieldLine, 31, 40, -124, -0.61, 0.5, e139, 128, FFFFFF
forcefieldLine, -31, 40, 124, 0.61, 0.5, e139, 127, FFFFFF
oddbox2, -15, 23, -135, -0.5, -0.3, e101, 137, FF0033
c, -33, 51, 0, 1, 1, e137, 104, FFFFFF
laser_, 1, 8, 0, 0, 0, e104, 135, FFFFFF
stick, 0, 0, 0, 0.4, 0.2, e104, 105, 990000
oddbox2, 15, 23, 135, 0.5, -0.3, e101, 136, FF0033
c, 34, 51, 0, 1, 1, e136, 103, FFFFFF
laser_, -2, 8, 0, 0, 0, e103, 134, FFFFFF
stick, 0, 0, 0, 0.4, 0.2, e103, 106, 990000
tri, 0, -47, 0, 1.7, 2.6, e101, 126, FF0033
oddbox2, -17, -6, 135, -0.5, 0.5, e101, 125, FF0033
oddbox2, 17, -6, -135, 0.5, 0.5, e101, 122, FF0033
c, 0, 0, 0, 2, 4, e101, 102, FF99BB




c, 0, 0, 0, 1.1, 1.1, e0, 208, 33CCFF
laser_, 47, 17, -87, 0.7, 0.7, e208, 213, 33CCFF
laser_, -1, 51, 0, 0.7, 0.7, e208, 212, 33CCFF
laser_, -31, -40, 150, 0.7, 0.7, e208, 211, 33CCFF
laser_, -47, 17, 87, 0.7, 0.7, e208, 210, 33CCFF
laser_, 31, -40, -150, 0.7, 0.7, e208, 209, 33CCFF
tri, 29, 39, -40, 2, 5, e208, 207, 33CCFF
